trial	value	u1-broader-P31o-mllm-en	u1-broader-P921o-mllm-en	u1-broader-P279-mllm-en	u1-broader-P910-mllm-en
0	0.3039166666666666	0.38973408655749875	0.26577290118479724	0.25669380820098614	0.08779920405671786
1	0.3033166666666666	0.2637132604950818	0.07215600151474791	0.6145116942820865	0.04961904370808377
2	0.3040833333333333	0.4753164552280741	0.12699058993658696	0.11252224325106892	0.28517071158427
3	0.3036833333333333	0.00954805577574918	0.12311502072232765	0.7172065440949759	0.15013037940694735
4	0.30415	0.32407344366540797	0.2383131491343554	0.21722255767230156	0.22039084952793508
5	0.3045833333333333	0.35131369651843747	0.24638810397385774	0.0713123443308176	0.3309858551768872
6	0.30418333333333325	0.36226219480365834	0.17429100436089487	0.12198435339554023	0.34146244743990656
7	0.30348333333333327	0.39838175957025906	0.13504892553061298	0.39094982493254465	0.07561948996658328
8	0.3041166666666666	0.13683265970291025	0.14817797810769084	0.5135585785436821	0.20143078364571682
9	0.3036166666666666	0.35336613265569217	0.3619671874905022	0.2718459162009331	0.012820763652872451
10	0.3052833333333333	0.20034429613484978	0.3942868633185088	0.0017171374720101836	0.4036517030746312
11	0.3053499999999999	0.18713992497413956	0.401993307135322	4.857652466510911e-05	0.4108181913658734
12	0.3054499999999999	0.17428644113550565	0.45288041407466795	0.001629998521218485	0.37120314626860784
13	0.30524999999999997	0.17533788676839204	0.4685164789575419	0.0013428158316207276	0.35480281844244527
14	0.30504999999999993	0.07789826328289877	0.43683449923666257	0.08668671569954546	0.39858052178089326
15	0.3044166666666666	0.22336906924002686	0.342467268778267	0.14597070949447732	0.2881929524872288
16	0.30515	0.18695970224348896	0.3798646472369356	0.04761492502290447	0.38556072549667103
17	0.30454999999999993	0.2423441206805268	0.16265645624721314	0.3620756863927226	0.23292373667953747
18	0.3053833333333333	0.07604531260830673	0.3787991916498446	0.12242051715233633	0.42273497858951237
19	0.30415	0.03822793476152897	0.47411198388153775	0.20959291010512981	0.2780671712518035
